RESPONSE,ANNUAL_INCOME,SMART_BANKING,NUM_DEBITS_MTD,LOAN,LOAN_TO_VALUE_RATIO,MORTGAGE_AGE,OCC_PROF,AGE_PRIMARY,BUYING_POWER,OWN_CAR,USE_CREDIT_CARD,CONSUMER_FINANCING,EDUCATION_LEVEL,MEAN_PROPERTY_VALUE,SPENDABILITY_INDEX,PHIGH,PMASS,SAVINGS_ACCTN,TEASER_RATE,OWCUSTID,CLUSTERID
1,384,0,-26.06,,0.6164,19,,14,9,N,Y,Y,L,1,M,0,1,1,9.35,1000000000,1
1,,0,,,,,,14,8,,,,L,1,,,,,3.99,1000000000,1
0,264,0,-2062,,,,,,,,,,,,,0,0,1,3.99,1000000000,1
0,,0,,,,,,,4,N,,,M,0,,0,0,0,3.99,1000000000,1
0,300,0,3.54,,0.65,4,,18,8,N,Y,N,M,0,H,0,0,1,9.35,1000000000,1
0,2133,1,388.5,,,,0,14,8,N,Y,,M,0,,0,0,1,3.99,1000000000,1
0,958,0,,,0.2048,22,0,18,10,N,Y,N,L,0,H,0,0,0,3.99,1000000000,1
0,348,0,,,,,0,15,9,N,Y,Y,L,0,L,0,1,0,9.35,1000000000,1
1,214,1,244,,0.641,0,,8,8,,,,L,1,,0,0,1,3.99,1000000000,1
0,576,1,175.4,,0.72,7,,11,6,,Y,N,M,0,H,0,0,1,9.35,1000000000,1
1,576,1,175.4,,0.72,7,,11,6,,Y,N,M,0,H,0,0,1,3.99,1000000000,1
0,,0,,,,,,,8,,,,M,0,,0,0,0,3.99,1000000000,1
0,264,0,488.1,,,8,,11,6,,,,M,0,,0,0,0,10.1,1000000000,1
0,264,0,488.1,,,8,,11,6,,,,M,0,,0,0,0,9.35,1000000000,1
1,489,1,231.4,,0.7979,6,,18,4,,,,M,0,,0,0,1,3.99,1000000000,1
1,,0,29.2,,0.2989,13,,15,6,,,,L,0,,,,,2.99,1000000000,1
1,732,0,-118,,0.58,8,,13,3,,,,M,0,,0,1,0,9.35,1000000000,1
1,249,0,,,,,,22,9,N,,N,L,1,,0,0,0,3.99,1000000000,1
0,,0,-76.57,,,,,23,4,N,,N,M,0,,0,0,0,3.99,1000000000,1
1,249,0,35.41,,0.0914,22,,22,9,N,,N,L,1,,0,0,0,3.99,1000000000,1
1,305,0,,,,,,5,8,N,Y,N,M,0,H,0,0,0,9.35,1000000000,1
1,960,1,345.4,,0.8,2,,17,4,,,,M,0,,0,0,1,2.99,1000000000,1
1,480,0,-94.39,,0.1,4,,10,5,N,,,M,0,,0,1,1,2.99,1000000000,1
0,146,0,122.2,,,,,18,8,,,,M,0,,0,0,0,3.99,1000000000,1
1,,0,,,0.3862,15,,13,7,N,Y,N,M,0,M,0,0,0,3.99,1000000000,1
0,,0,,,,,,13,7,N,Y,N,M,0,M,0,0,0,9.35,1000000000,1
1,,0,,,,,,13,7,N,Y,N,M,0,M,0,0,0,3.99,1000000000,1
1,571,1,107.8,,0.0675,21,0,20,3,N,Y,N,H,0,H,0,0,1,9.35,1000000000,1
0,840,1,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
1,606,0,229,,,,0,15,3,N,Y,Y,M,0,H,1,0,1,9.35,1000000000,3
1,684,0,,,,,0,16,3,N,Y,N,H,0,L,1,0,1,9.35,1000000000,3
1,446,0,,,,,,12,6,N,,N,M,0,M,1,0,1,9.35,1000000000,3
0,798,0,39.82,,,,,16,10,N,,,L,0,,0,0,1,9.35,1000000000,1
0,324,0,,,,,0,10,8,N,,N,M,0,M,0,0,1,3.99,1000000000,1
1,420,0,374.4,,,,,12,10,N,Y,,L,0,,0,1,1,5.9,1000000000,1
1,254,0,,,,,,10,4,N,Y,Y,M,0,,0,1,0,9.35,1000000000,1
0,798,0,,,,,,16,10,N,,,L,0,,0,0,1,9.35,1000000000,1
0,389,0,312.8,,,,,18,9,,,,L,1,,0,1,0,10.1,1000000000,1
1,584,0,159.2,,0.7741,4,0,14,5,N,,,M,0,,0,0,1,3.99,1000000000,1
1,446,0,152.4,,,,,12,6,N,,N,M,0,M,1,0,1,9.35,1000000000,3
1,,0,,,,,0,9,5,N,Y,N,M,0,M,,,,10.1,1000000000,3
0,240,0,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
1,505,1,129.2,,0.6677,5,,15,6,N,,N,M,0,M,1,0,1,2.99,1000000000,3
0,,0,-7.46,,,,0,21,8,N,Y,,M,0,,0,0,0,3.99,1000000000,1
0,,0,,,0.6873,6,,17,7,,Y,N,M,0,,0,0,0,9.35,1000000000,1
0,,0,,,,,,8,8,N,Y,Y,M,0,L,,,,10.1,1000000000,1
0,,0,,,,,,24,8,,Y,Y,M,0,L,0,1,0,9.35,1000000000,1
1,540,1,206.3,,,,,12,4,N,,Y,M,0,L,1,0,0,9.35,1000000000,3
0,649,0,-790.1,,,,,11,8,,,,M,0,,0,1,1,9.35,1000000000,1
0,649,0,-790.1,,,,,11,8,,,,M,0,,0,1,1,3.99,1000000000,1
1,540,0,,,,,,12,9,N,Y,N,M,1,H,0,0,1,3.99,1000000000,1
1,606,0,,,,,0,15,3,N,Y,Y,M,0,H,1,0,1,9.35,1000000000,3
1,540,1,,,0.7531,5,,12,4,N,,Y,M,0,L,1,0,0,9.35,1000000000,3
0,489,0,,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
0,720,1,196.5,,,,,13,5,N,Y,Y,M,0,M,0,0,1,3.99,1000000000,1
0,336,0,50.18,,,,,8,7,,Y,N,L,0,,0,1,0,5.9,1000000000,1
0,522,1,686.9,,0.4382,22,,16,8,N,Y,Y,L,0,L,1,0,0,2.99,1000000000,1
1,522,1,686.9,,0.4382,22,,16,8,N,Y,Y,L,0,L,1,0,0,9.35,1000000000,3
1,384,0,57.45,,0.6522,12,0,16,4,N,Y,N,M,0,H,0,1,1,9.35,1000000000,1
1,522,1,,,,,,16,8,N,Y,Y,L,0,L,1,0,0,9.35,1000000000,3
0,458,1,123.8,,,,,13,8,,Y,N,M,0,,0,0,1,2.99,1000000000,1
1,,0,,,,,,16,2,N,Y,Y,H,0,L,,,,9.35,1000000000,3
0,458,1,,,0.2143,17,,13,8,,Y,N,M,0,,0,0,1,3.99,1000000000,1
0,240,0,,,,,,5,9,N,,N,L,1,,0,0,1,3.99,1000000000,1
1,600,0,,,,,,6,6,N,Y,N,M,0,L,0,0,0,3.99,1000000000,1
0,504,0,99.71,,,,,17,7,,,,L,0,,0,0,1,10.1,1000000000,1
1,400,0,31.3,,0.3723,15,,,,,,,,,,1,0,1,9.35,1000000000,3
1,840,1,-32.81,,,,,16,2,N,Y,Y,H,0,L,0,1,0,9.35,1000000000,1
1,750,0,,,,,0,17,,N,Y,Y,,W,,0,0,1,9.35,1000000000,1
0,288,1,19.69,,,,,19,9,N,Y,Y,L,1,H,0,0,0,9.35,1000000000,1
1,288,1,19.69,,,,,19,9,N,Y,Y,L,1,H,0,0,0,3.99,1000000000,1
1,571,1,,,,,0,20,3,N,Y,N,H,0,H,0,0,1,9.35,1000000000,1
0,391,1,-65.27,,0.5367,6,,13,10,,Y,N,L,1,,0,1,0,9.35,1000000000,1
0,504,0,76.74,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
1,400,0,,,,,,,,,,,,,,1,0,1,9.35,1000000000,3
0,440,1,-10.39,,0.22,19,,13,8,,Y,Y,M,0,,0,1,1,9.35,1000000000,1
1,225,1,411.8,,0,16,19,9,,N,Y,Y,L,1,H,0,0,0,3.99,1000000000,1
0,340,0,,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
0,,0,,,,,,10,8,N,Y,,M,0,,,,,10.1,1000000000,1
0,350,0,,,,,,10,8,N,Y,,M,0,,0,0,0,5.9,1000000000,1
0,546,0,4.44,,,,,15,4,,Y,N,M,0,,0,0,0,3.99,1000000000,1
0,499,0,,,,,,14,8,N,,,M,0,,0,0,0,9.35,1000000000,1
0,1000,0,102.5,,,,,,1,,,,H,0,,0,0,0,3.99,1000000000,2
1,960,0,,,,,,11,7,,,,M,0,,1,0,0,9.35,1000000000,3
0,679,0,-3.68,,0.3833,14,,12,9,N,Y,N,L,0,H,1,0,0,10.1,1000000000,3
1,400,0,218.8,,0.25,16,16,8,,N,Y,N,M,0,M,0,1,0,9.35,1000000000,1
0,399,0,55.91,,,,,7,5,N,,,M,0,,0,0,1,3.99,1000000000,1
1,388,1,63.48,,0.5577,18,,16,8,N,Y,N,M,0,M,0,1,1,2.99,1000000000,1
1,577,0,7.15,,,,,7,3,N,,N,M,0,,0,0,0,3.99,1000000000,1
0,,0,,,,,0,11,8,N,,,M,0,,,,,9.35,1000000000,1
1,261,0,14.27,,0,25,,,,,,,,,,0,0,1,9.35,1000000000,1
0,499,1,11.93,,,,,14,8,N,,,M,0,,0,0,0,3.99,1000000000,1
0,672,0,347.4,,,4,,11,8,,Y,N,L,1,,0,0,0,9.35,1000000000,1
0,672,0,347.4,,,4,,11,8,,Y,N,L,1,,0,0,0,3.99,1000000000,1
0,231,0,,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
1,261,0,,,,,,,,,,,,,,0,0,1,9.35,1000000000,1
0,408,0,,,,,,16,8,,Y,N,M,0,,1,0,0,9.35,1000000000,3
1,198,0,-38.1,,,,0,15,7,N,Y,N,M,0,,0,1,1,3.99,1000000000,1
1,1200,1,,,0.2,14,0,19,7,N,Y,N,M,0,L,0,0,0,3.99,1000000000,1
0,288,0,-28.9,,0,9,9,5,,,,,M,0,,0,1,1,2.99,1000000000,1
0,415,0,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
0,,1,-530,,0.7451,7,,7,8,N,,N,M,0,,1,0,1,9.35,1000000000,3
0,,0,,,,,,14,10,N,,N,L,0,L,0,0,1,3.99,1000000000,1
0,,0,228.1,,0.7368,4,0,11,8,N,,,M,0,,,,,3.99,1000000000,1
0,,0,48.93,,,,,17,3,,,,H,0,,,,,2.99,1000000000,1
0,,0,,,,,,,5,,,,M,0,,,,,3.99,1000000000,1
0,586,0,32.4,,0.3045,13,,15,8,,Y,N,L,0,,0,0,1,2.99,1000000000,1
0,586,0,32.4,,0.3045,13,,15,8,,Y,N,L,0,,0,0,1,9.35,1000000000,1
1,586,0,32.4,,0.3045,13,,15,8,,Y,N,L,0,,0,0,1,3.99,1000000000,1
1,679,0,,,,,,12,9,N,Y,N,L,0,H,1,0,1,9.35,1000000000,3
0,503,1,15.01,,,,0,17,8,N,Y,N,M,0,,0,0,1,2.99,1000000000,1
0,,0,,,,,,,,,,,,,,0,0,0,10.1,1000000000,1
0,,0,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
0,,0,,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
1,,0,,,,,,15,8,,Y,N,L,0,,0,0,1,3.99,1000000000,1
1,,0,-1100,,,,,11,7,N,Y,,M,0,,0,0,0,3.99,1000000000,1
1,132,0,21.5,,,,,5,8,N,Y,N,L,1,L,0,0,0,3.99,1000000000,1
1,268,0,144.3,,,,,12,5,N,Y,,M,0,,0,0,1,3.99,1000000000,1
0,426,0,,,,,,10,5,,Y,Y,M,0,,0,0,1,9.35,1000000000,1
0,426,0,,,,,,10,5,,Y,Y,M,0,,0,0,1,3.99,1000000000,1
0,370,0,,,,,,10,8,N,Y,N,M,0,,0,0,0,2.99,1000000000,1
1,,1,24.82,,,,,11,5,,,,H,0,,0,0,0,3.99,1000000000,1
1,577,0,,,0.4322,3,,7,3,N,,N,M,0,,0,0,0,3.99,1000000000,1
1,360,0,,,0.1283,13,,10,8,,,,M,0,,0,1,0,9.35,1000000000,1
1,1200,1,153.8,,,,0,19,7,N,Y,N,M,0,L,0,0,0,3.99,1000000000,1
1,244,0,165.2,,0,5,0,8,8,N,Y,N,M,0,L,0,0,1,3.99,1000000000,1
1,1000,0,-267.6,,0.1362,21,,17,1,,Y,Y,H,0,H,0,0,1,3.99,1000000000,2
1,230,1,208,,,,,7,6,N,,Y,M,0,,0,1,0,3.99,1000000000,1
1,350,0,,,,,0,6,3,N,Y,N,H,0,M,0,0,0,3.99,1000000000,1
0,,0,,,0.5714,0,,13,9,N,Y,,M,1,,,,,5.9,1000000000,1
1,,0,-218.7,,,,0,9,1,N,Y,N,H,0,,0,0,0,3.99,1000000000,2
0,624,0,154.8,,0.6233,8,0,15,3,N,Y,Y,M,0,M,0,1,1,10.1,1000000000,1
1,624,0,154.8,,0.6233,8,0,15,3,N,Y,Y,M,0,M,0,1,1,9.35,1000000000,1
1,290,1,261.8,,0.5951,6,0,16,6,N,Y,N,L,0,H,0,1,1,9.35,1000000000,1
1,,0,,,0.6286,1,,,,,,,,,,,,,9.35,1000000000,3
1,506,0,260.8,,0.5488,15,,16,7,N,Y,N,M,0,H,1,0,0,9.35,1000000000,3
0,,0,281.2,,0.4629,5,,9,7,,,,L,0,,,,,9.35,1000000000,1
1,374,0,102.3,,,8,,11,7,N,Y,,M,0,,0,0,0,3.99,1000000000,1
0,426,0,30.16,,,,,10,5,,Y,Y,M,0,,0,0,0,3.99,1000000000,1
0,288,0,-898.5,,,,,9,7,N,,N,L,0,M,0,1,0,9.35,1000000000,1
1,1905,0,,,,,,12,10,,Y,N,L,0,L,0,1,0,9.35,1000000000,1
1,1905,0,,,0.66,3,,12,10,,Y,N,L,0,L,0,1,0,9.35,1000000000,1
1,799,0,,,,,,13,5,,Y,N,H,0,,1,0,1,9.35,1000000000,3
0,467,0,,,,,,,,,,,,,,0,1,1,9.35,1000000000,1
0,184,0,76.47,,,,,14,8,,,,M,0,,0,0,1,3.99,1000000000,1
0,172,0,189.9,,,,,20,8,N,Y,,M,0,,0,0,0,3.99,1000000000,1
1,799,0,47.56,,0.7333,10,,13,5,,Y,N,H,0,,1,0,1,9.35,1000000000,3
1,576,0,-948.6,,0.4844,1,,3,2,,,,H,0,,1,0,0,2.99,1000000000,3
0,504,1,,,,,,15,9,,,N,L,1,,0,0,1,3.99,1000000000,1
0,,0,,,,,0,16,4,N,Y,N,M,0,L,0,0,0,9.35,1000000000,1
1,638,1,223.3,,0.3636,10,,18,7,N,,,M,0,,0,0,1,2.99,1000000000,1
0,480,0,,,,,,,,,,,,,,0,1,1,9.35,1000000000,1
1,450,1,-652.9,,0.8794,5,0,7,2,N,Y,Y,H,0,,1,0,1,3.99,1000000000,3
0,758,0,153.9,,0.3557,15,,18,10,N,Y,N,L,0,M,0,0,0,10.1,1000000000,1
0,758,0,153.9,,0.3557,15,,18,10,N,Y,N,L,0,M,0,0,0,3.99,1000000000,1
0,504,1,468.8,,,,,15,9,,,N,L,1,,0,1,1,9.35,1000000000,1
0,309,0,-28.31,,,,,,,,,,,,,0,0,1,3.99,1000000000,1
1,696,0,4.79,,0.6494,1,,5,9,,Y,N,L,1,,0,0,1,3.99,1000000000,1
1,792,0,,,,,,17,7,N,,,M,0,,1,0,1,9.35,1000000000,3
1,231,0,285.2,,0,5,7,10,,,Y,N,L,1,,0,0,0,3.99,1000000000,1
1,353,0,20.65,,,,,11,2,N,Y,N,H,0,M,1,0,0,2.99,1000000000,3
1,336,1,,,,,,16,7,N,Y,,M,0,,0,0,1,9.35,1000000000,1
1,300,0,685.7,,,,,,,,,,,,,0,0,1,3.99,1000000000,1
1,576,0,72.14,,0.4182,15,,18,3,N,Y,Y,M,0,L,1,0,1,2.99,1000000000,3
0,503,1,265.6,,0.1,19,,,,,,,,,,0,0,1,2.99,1000000000,1
0,,0,,,,8,,,,,,,,,,0,0,0,9.35,1000000000,1
0,792,0,,,0.551,2,,17,7,N,,,M,0,,1,0,1,2.99,1000000000,3
1,792,0,,,0.551,2,,17,7,N,,,M,0,,1,0,1,9.35,1000000000,3
0,,0,,,,,,27,7,,,,M,0,,,,,9.35,1000000000,1
1,516,1,178.7,,0.56,7,,13,8,N,Y,N,L,0,M,0,1,0,9.35,1000000000,1
0,292,0,,,,,,14,8,,,,M,0,,0,0,0,3.99,1000000000,1
1,465,0,,,,,,15,10,N,Y,N,L,1,H,0,0,1,3.99,1000000000,1
0,342,1,872.5,,,,,16,8,,Y,N,M,0,,0,0,0,3.99,1000000000,1
1,,0,430.1,,0,30,,,,,,,,,,0,0,1,3.99,1000000000,1
1,624,0,127.2,,0.4996,16,,,5,,,,M,0,,0,1,1,9.35,1000000000,1
0,,0,887.7,,,,,12,8,,Y,Y,M,0,,,,,2.99,1000000000,1
0,,0,887.7,,,,,12,8,,Y,Y,M,0,,,,,9.35,1000000000,1
1,516,1,,,,,,13,8,N,Y,N,L,0,M,0,1,0,9.35,1000000000,1
1,300,0,97.18,,,8,,10,4,N,,,M,0,,0,0,0,3.99,1000000000,1
1,300,0,153.5,,0.8857,2,,5,4,,Y,Y,M,0,,0,0,1,3.99,1000000000,1
1,465,0,-124.7,,0.4889,21,,15,10,N,Y,N,L,1,H,0,0,1,3.99,1000000000,1
1,300,0,16.05,,,,,6,6,N,Y,N,M,0,,0,0,1,3.99,1000000000,1
0,238,0,-7.04,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
0,238,0,-7.04,,,,,,,,,,,,,0,0,0,3.99,1000000000,1
1,1176,0,5.33,,,,0,20,5,N,Y,,M,0,,0,0,0,9.35,1000000000,1
0,396,1,15.81,,,,,11,10,N,Y,N,L,0,H,0,0,0,3.99,1000000000,1
0,684,0,,,,,0,18,7,N,Y,N,L,0,L,0,0,0,3.99,1000000000,1
1,300,0,,,,,,,,,,,,,,0,0,1,3.99,1000000000,1
0,380,0,,,,,,,,,,,,,,0,0,0,9.35,1000000000,1
1,336,1,83.01,,0.0942,15,,16,7,N,Y,,M,0,,0,0,1,9.35,1000000000,1
1,,0,,,0.6619,4,,,,,,,,,,0,0,0,9.35,1000000000,1
0,362,0,-136.3,,,,,18,7,,Y,Y,M,0,,0,0,0,3.99,1000000000,1
0,242,0,-25.52,,0.5571,17,,15,7,N,Y,Y,M,0,L,0,0,0,3.99,1000000000,1
1,396,1,-170.8,,0.2258,19,,14,4,N,Y,N,M,0,L,0,1,0,9.35,1000000000,1
0,528,1,,,,,,16,6,,Y,N,M,0,,1,0,1,9.35,1000000000,3
0,528,1,-5.92,,0.5429,13,,16,6,,Y,N,M,0,,1,0,1,9.35,1000000000,3
0,,0,,,,,,8,8,,Y,N,M,0,L,,,,9.35,1000000000,1
1,1269,0,,,0.6778,8,,16,10,,,,L,0,,1,0,0,9.35,1000000000,3
0,402,0,56,,0.4433,2,0,11,4,N,Y,Y,M,0,,0,0,0,9.35,1000000000,1
1,432,1,13.68,,,,,11,8,N,,,M,0,,1,0,0,9.35,1000000000,3
0,528,0,,,,,,2,8,,Y,N,M,0,,0,0,0,3.99,1000000000,1
0,372,0,-272.7,,,,,15,8,N,Y,N,M,0,,0,0,0,3.99,1000000000,1
0,901,0,,,,,0,12,5,N,Y,N,M,0,M,0,0,1,9.35,1000000000,1
1,901,0,,,,,0,12,5,N,Y,N,M,0,M,0,0,1,3.99,1000000000,1
1,750,0,,,,,,9,8,,Y,N,M,0,M,0,0,0,3.99,1000000000,1
1,923,0,,,,,0,9,6,N,Y,Y,M,0,M,1,0,0,9.35,1000000000,3
1,840,1,,,,,,13,7,,Y,N,M,0,,1,0,0,9.35,1000000000,3
1,436,1,,,,,,10,7,N,,N,L,0,,0,1,0,9.35,1000000000,1
0,901,0,25.86,,0.5824,9,0,12,5,N,Y,N,M,0,M,0,0,1,9.35,1000000000,1
1,901,0,25.86,,0.5824,9,0,12,5,N,Y,N,M,0,M,0,0,1,3.99,1000000000,1
0,399,1,-102.9,,0.6667,6,,10,9,N,,N,L,1,M,0,0,1,10.1,1000000000,1
0,399,1,-102.9,,0.6667,6,,10,9,N,,N,L,1,M,0,0,1,9.35,1000000000,1
1,432,1,-163,,,,,11,8,N,,,M,0,,1,0,0,9.35,1000000000,3
0,330,0,14.11,,,,,20,8,N,Y,N,M,0,L,0,0,0,2.99,1000000000,1
0,330,0,14.11,,,,,20,8,N,Y,N,M,0,L,0,0,0,9.35,1000000000,1
0,330,0,14.11,,,,,20,8,N,Y,N,M,0,L,0,0,0,3.99,1000000000,1
1,492,1,102.2,,0.604,4,,19,10,,Y,N,M,0,,0,1,0,9.35,1000000000,1
0,245,0,,,,,,17,8,N,Y,N,M,0,M,0,0,1,3.99,1000000000,1
0,238,0,,,0,10,27,7,,N,,,L,0,,0,0,0,3.99,1000000000,1
0,,0,,,,,,16,5,,,,M,0,,,,,3.99,1000000000,1
1,480,0,25.49,,0.0667,23,0,18,8,N,Y,N,M,0,L,0,1,0,9.35,1000000000,1
0,192,0,,,,,,10,8,,,,M,0,,0,0,0,3.99,1000000000,1
0,,0,,,,,,12,8,,,,M,0,,,,,9.35,1000000000,1
0,,0,,,,,,12,8,,,,M,0,,,,,3.99,1000000000,1
1,396,1,,,,,,14,4,N,Y,N,M,0,L,0,1,1,9.35,1000000000,1
1,780,1,117.1,,0.7333,1,,13,3,,Y,Y,M,0,,1,0,0,2.99,1000000000,3
0,399,0,,,0.85,2,,8,8,N,,Y,M,0,,0,0,0,3.99,1000000000,1
1,840,1,242.5,,0.625,11,13,7,,,Y,N,M,0,,1,0,0,9.35,1000000000,3
0,324,0,,,,,,16,8,N,Y,N,M,0,L,0,0,0,10.1,1000000000,1
0,324,0,,,,,,16,8,N,Y,N,M,0,L,0,0,0,9.35,1000000000,1
0,1115,0,,,,,,,,,,,,,,0,0,1,3.99,1000000000,1
1,612,0,,,,,,17,3,N,Y,N,H,0,M,1,0,1,9.35,1000000000,3
1,1068,1,,,0.3738,6,,16,2,N,,N,H,0,,1,0,1,9.35,1000000000,3
0,,0,,,,,,13,4,N,Y,N,M,0,L,,,,10.1,1000000000,3
0,495,0,-71.03,,0.7059,5,,13,4,N,Y,N,M,0,L,1,0,1,2.99,1000000000,3
0,396,1,75.07,,,,,13,5,N,Y,N,M,0,L,0,0,0,3.99,1000000000,1
0,456,0,,,,,,15,7,N,,N,L,0,L,1,0,1,9.35,1000000000,3
0,763,1,25.67,,,,,,8,,,,M,0,,1,0,1,10.1,1000000000,3
0,378,0,,,,,,15,7,N,,Y,M,0,M,0,1,0,9.35,1000000000,1
1,,0,,,0.7138,6,,10,3,,Y,Y,H,0,,,,,9.35,1000000000,3
1,762,0,233.5,,,,,16,2,N,Y,N,H,0,H,0,0,1,3.99,1000000000,1
0,1115,0,2.87,,0.576,3,,,,,,,,,,0,0,0,9.35,1000000000,1
1,,0,,,,,,16,2,N,Y,N,H,0,H,0,0,0,3.99,1000000000,2
1,1068,1,-48.47,,,,,16,2,N,,N,H,0,,1,0,1,9.35,1000000000,3
1,719,0,,,0.6111,27,0,20,9,N,Y,N,L,0,H,0,0,0,3.99,1000000000,1
0,294,0,-67.1,,,,,9,10,N,,,L,0,,0,0,0,2.99,1000000000,1
0,976,0,,,,,,,7,,,,M,0,,0,0,1,9.35,1000000000,1
